run_tag,source_file,solution_id,anchor_date,observed,model_cum,ratio_model_over_observed,replayed,note
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-20,2285.0,1615.8,0.707,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-21,2471.0,1673.2,0.677,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-26,4208.0,2102.4,0.5,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-19,1873.0,2671.6,1.426,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-21,2659.0,2809.9,1.057,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-22,3195.0,2896.1,0.906,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-24,4014.0,3098.2,0.772,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-07-26,4754.0,3331.0,0.701,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-08-02,7524.0,4277.7,0.569,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_5,foshan_hv2_multistart.json,kept_theta_5,2025-08-09,8736.0,5295.6,0.606,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.254
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-15,478.0,1157.3,2.421,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-18,1161.0,1232.2,1.061,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-19,1790.0,1256.9,0.702,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-20,2285.0,1284.3,0.562,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-21,2471.0,1318.5,0.534,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-26,4208.0,1607.2,0.382,True,scope=shunde; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-19,1873.0,2931.5,1.565,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-21,2659.0,3061.0,1.151,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-22,3195.0,3138.6,0.982,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-24,4014.0,3323.0,0.828,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-07-26,4754.0,3539.6,0.745,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-08-02,7524.0,4437.3,0.59,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
multistart_actual_6,foshan_hv2_multistart.json,kept_theta_6,2025-08-09,8736.0,5403.6,0.619,True,scope=city; early_anchor_in_calib=no; 13-elt frozen; default ode_zone (seed 5e-4); R0 replay 1.195
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-15,478.0,2269.2,4.747,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-18,1161.0,2470.2,2.128,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-19,1790.0,2548.2,1.424,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
boundprofile_baseline_R01.24_s1,bound_profile_i600.csv,baseline|R0=1.24|start=1,2025-07-20,2285.0,2632.1,1.152,True,scope=shunde; early_anchor_in_calib=yes; th_anchor(multistart start 1) + archived 8 free params; ode_zone_seeded; R0 replay ok (1.240)
