bound_set,R0_target,start,R0_check,loss_total,loss_post,loss_early,seed_val,cpa,cpb,s_min,r_base,r_off,esc_off,stag_b,seed,cpa_at_bound,cpb_at_bound,s_min_at_bound,r_base_at_bound,r_off_at_bound,esc_off_at_bound,stag_b_at_bound,seed_at_bound,n_params_at_bound,tru_none,tru_actual,tru_early,tru_late,tru_rule,tru_none_x,tru_early_x,tru_late_x,tru_rule_x
baseline,3.0,2,3.0,1.9957,1.5658,0.4299,3.422e-06,0.82102813455566,0.3291177684503697,0.22129828195276843,0.8248879641288233,16.658000186747806,7.454019259900542,2.8094105936005302,3.4218888473233744e-06,False,False,False,False,False,False,False,False,0,3457898,19153,4442,96779,1095,180.545,0.232,5.053,0.057
baseline,3.5,0,3.5,4.5736,4.4367,0.1369,1.005e-06,0.49732068349957753,0.08617483037161314,0.20259284886988943,0.8971449361907098,7.564879870900902,16.48490962571429,0.20591624005003104,1.0046691484260817e-06,False,False,False,True,False,False,False,True,2,7857058,49042,10450,240708,2701,160.211,0.213,4.908,0.055
baseline,3.5,1,3.5,4.9746,4.0032,0.9714,1e-06,0.4999999999999661,0.95,0.2456407755992212,0.05000000000000001,24.999999703427186,5.208677178477972,6.8,1.0000000000000004e-06,False,True,False,True,True,True,True,True,6,5211400,38976,9184,178097,2219,133.707,0.236,4.569,0.057
baseline,3.5,2,3.5,2.9471,1.9924,0.9547,1.215e-06,0.729118419587389,0.0542267778166084,0.2,0.050000000001270674,24.303088168149767,5.20013748079677,1.0109847043320523,1.2152219063478782e-06,False,False,True,True,False,True,False,False,3,3629731,24201,4496,146634,961,149.986,0.186,6.059,0.04
baseline,4.0,0,4.0,88.8302,88.8287,0.0015,1e-06,0.5198400021154881,0.07043783116525529,0.2001154026620169,0.8999900448255584,24.91180946448509,6.313144480521963,0.7907787774939619,1.0000029315026214e-06,False,False,True,True,True,False,False,True,4,8253314,192490,37001,899737,7953,42.877,0.192,4.674,0.041
baseline,4.0,1,4.0,11.3027,10.3462,0.9565,1e-06,0.49999999999999434,0.05001273480076788,0.20020383433139077,0.05000000070392561,24.44100653822027,9.769494408880547,6.799881905376708,1.0000000001358598e-06,False,True,True,True,False,False,True,True,5,7613698,86995,16189,440074,3133,87.519,0.186,5.059,0.036
baseline,4.0,2,4.0,38.4674,37.5392,0.9282,1.348e-06,0.4245509502208425,0.8525579059466728,0.20000000003409146,0.050000000000585756,19.026923240407285,15.4229155575727,2.244929460623537,1.3476846910037995e-06,False,False,True,True,False,False,False,False,2,4221374,162490,38351,688582,8275,25.979,0.236,4.238,0.051
baseline,4.5,0,4.5,1677.6047,1677.0606,0.5441,1e-06,0.54703975859959,0.05000214211285561,0.20000000000018922,0.8936035966290017,24.999829632392807,5.278461168382323,0.2912269279234493,1.0000000000000004e-06,False,True,True,True,True,False,False,True,5,8268637,757352,154301,2272204,27988,10.918,0.204,3.0,0.037
baseline,4.5,1,4.5,323.3683,323.2555,0.1128,1e-06,0.5000000000000046,0.95,0.20000020870434698,0.8999999996033077,24.88795215348647,5.2,6.799999996823721,1.0000000000000004e-06,False,True,True,True,True,True,True,True,7,7901475,382660,70955,1446494,11892,20.649,0.185,3.78,0.031
baseline,4.5,2,4.5,881.0213,880.1936,0.8277,1.957e-06,0.6831526908309932,0.07300758385960719,0.200000000038628,0.0615157125633476,13.42712282417275,5.413427386053418,2.558522969442547,1.956519141449246e-06,False,False,True,False,False,False,False,False,1,6552303,396399,76327,1399511,11528,16.53,0.193,3.531,0.029
loose,1.24,0,1.24,0.7491,0.6902,0.0589,7.303e-05,0.9231479832124126,0.19938365480520118,0.4758985546296719,0.7189996289337639,7.533290606098666,14.095794838926665,2.1535610582493216,7.303437960269263e-05,False,False,False,False,False,False,False,False,0,48622,13908,10001,20702,7832,3.496,0.719,1.489,0.563
loose,1.24,1,1.24,0.1196,0.1188,0.0008,0.0003744,0.5005901511079709,0.585254803445832,0.5516780271770343,0.19380282487013778,13.437051845082426,5.012529291236401,2.2121301807628964,0.0003744413944538857,False,False,False,False,False,False,False,False,0,94535,13210,9998,17786,8154,7.156,0.757,1.346,0.617
loose,1.24,2,1.24,0.927,0.6985,0.2285,0.0003745,0.3555530817251346,0.29942946465476494,0.8486033091415309,0.13283693768934104,14.977713752748144,9.138389075811691,3.1103619386696004,0.0003745372847415844,False,False,False,False,False,False,False,False,0,73503,21672,17751,28261,15403,3.392,0.819,1.304,0.711
loose,2.0,0,2.0,1.1596,1.156,0.0036,1.739e-05,0.7731990049799422,0.31181237547106794,0.3762291545914329,0.8619025797661087,8.831537060730218,12.96898077272818,1.800155007360413,1.738867566884639e-05,False,False,False,False,False,False,False,False,0,2092568,17658,7737,46713,3279,118.508,0.438,2.645,0.186
loose,2.0,1,2.0,3.5132,2.9619,0.5513,2.367e-05,0.5000549472199068,0.2926554362009037,0.599498359203047,0.2982660376781707,11.961649500217211,9.825613646464916,1.945041522772714,2.3665250997901877e-05,False,False,False,False,False,False,False,False,0,1640608,37514,19484,79824,10027,43.733,0.519,2.128,0.267
loose,2.0,2,2.0,0.1277,0.1272,0.0005,0.0003086,0.8486621865438896,0.03982324647141683,0.08408398555579943,0.1488138689887101,13.473949600189375,19.442406663102144,2.6258884040881583,0.00030859218599610996,False,False,False,False,False,False,False,False,0,2896025,12024,5370,28021,1267,240.85,0.447,2.33,0.105
loose,3.0,0,3.0,3.1277,2.5556,0.5721,1.313e-10,0.7760091125193989,0.17158080358840064,0.27776292245318657,0.860660437280642,5.074508575232837,12.042179820211093,1.5897235353187464,1.3134211543358416e-10,False,False,False,False,False,False,False,False,0,4045012,22886,5426,117690,1715,176.747,0.237,5.142,0.075
loose,3.0,1,3.0,0.033,0.0328,0.0002,8.848e-05,0.5054043765715652,0.7836733076823326,0.055821128198156114,0.021727797291560547,5.516984722117091,5.015689132443793,0.5343790583623323,8.847824754431509e-05,False,False,False,False,False,False,False,False,0,6736440,11743,3332,45238,483,573.651,0.284,3.852,0.041
loose,3.0,2,3.0,0.6216,0.1265,0.4951,0.0001068,0.41629448453086965,0.9177004422414067,0.07886549365832089,0.04361237238144,13.543428741643895,7.036392104510435,2.6606998246541065,0.00010675532969186793,False,False,False,False,False,False,False,False,0,4239675,13715,4114,56399,819,309.116,0.3,4.112,0.06
loose,4.0,0,4.0,3211.277,3211.2639,0.0131,4.075e-07,0.7863236101220731,0.2622702275133883,0.3504483730623419,0.8476431016087983,8.277462593961156,12.687982848020123,1.9329709260500223,4.0752921168265566e-07,False,False,False,False,False,False,False,False,0,8190866,780914,524780,3195884,122261,10.489,0.672,4.092,0.157
loose,4.0,1,4.0,1.0454,1.0331,0.0123,9.231e-06,0.5036122768532598,0.3476949945562182,0.09211630359238429,0.40070288052126524,5.560765682110733,6.281929055695487,1.2513853354825784,9.23085263353768e-06,False,False,False,False,False,False,False,False,0,8029071,20737,3221,142893,340,387.185,0.155,6.891,0.016
loose,4.0,2,4.0,1.1025,0.2024,0.9001,2.986e-05,0.5599413798908194,0.13383736834591745,0.05141706542926646,0.010022757526758413,14.490660669543553,5.673626609229309,1.6901203334930983,2.985624762877493e-05,False,False,False,True,False,False,False,False,1,6864129,14113,2202,98546,189,486.386,0.156,6.983,0.013
loose,4.5,0,4.5,0.7227,0.7224,0.0003,1e-10,0.8736194501396047,0.2410458089855961,0.05410327796778356,0.9498490831207953,1.2793411396278438,5.189907657886478,0.696836011559968,1.0000000000002802e-10,False,False,False,True,False,False,False,True,2,8230026,14354,1603,149563,269,573.343,0.112,10.419,0.019
loose,4.5,1,4.5,5.5554,4.8515,0.7039,1e-10,0.49954144407111317,0.14772043615619887,0.14743807540556508,0.010012181577855933,1.3201954714389612,5.4211505331420256,0.393882760845895,1.0000011332319248e-10,False,False,False,True,False,False,False,True,2,6819849,38911,5542,280266,1099,175.268,0.142,7.203,0.028
loose,4.5,2,4.5,5.5437,4.5583,0.9853,2.378e-09,0.33188887111375115,0.18263067234127736,0.11061782017442084,0.010332674492895938,14.32034048775367,5.180936443211541,2.732289284846897,2.378015626295549e-09,False,False,False,False,False,False,False,False,0,4257802,40742,6117,270068,1269,104.508,0.15,6.629,0.031
loose,5.0,0,5.0,1.0445,0.8493,0.1952,1e-10,0.7373226820166516,0.9609110397881301,0.05185141261631782,0.9499906617821529,1.0235224988718243,9.387770272714274,1.3787931437663994,1.0000000000000316e-10,False,False,False,True,False,False,False,True,2,8255606,16301,1482,200721,222,506.453,0.091,12.314,0.014
loose,5.0,1,5.0,4.7027,4.1085,0.5941,1e-10,0.49758003323535527,0.010018583518552691,0.1050167259273247,0.01000000000649902,1.0028922178396062,6.620179696062866,0.05000134263652956,9.999999999999996e-11,False,True,False,True,True,False,True,True,5,8041095,35362,3811,315077,623,227.393,0.108,8.91,0.018
loose,5.0,2,5.0,1.7968,1.7872,0.0096,6.223e-06,0.17850646403020237,0.5671647902405491,0.050224928233974155,0.3358309797731834,12.487586688872979,24.399318938925017,4.408650620991862,6.222880527055541e-06,False,False,True,False,False,False,False,False,1,7621331,31488,3570,277200,270,242.038,0.113,8.803,0.009
loose,6.0,0,6.0,21043.3437,21035.414,7.9297,1e-10,0.9899998924971591,0.989451786599488,0.05000006066226483,0.9499979027694316,1.000001397218655,5.499997017702732,0.2725467019602812,9.999999999999996e-11,True,True,True,True,True,False,False,True,6,8269037,695260,52815,2797321,4300,11.893,0.076,4.023,0.006
loose,6.0,1,6.0,2.2299,2.2294,0.0005,2.5e-07,0.5080700738002697,0.02239592931751703,0.05196051061371983,0.6633923164151113,1.014163577414277,13.42404742215617,6.949792617113083,2.4998340947752165e-07,False,False,False,False,False,False,True,False,1,8267425,29298,1915,403790,165,282.183,0.065,13.782,0.006
loose,6.0,2,6.0,26.9622,26.9622,0.0,1e-10,0.010000001454910392,0.010197685935079099,0.05000000010735262,0.4328485791830122,12.24954478643071,12.500177062213696,1.4681354705680616,1.000000000000188e-10,True,False,True,False,False,False,False,True,3,7978180,141444,14139,878693,2056,56.405,0.1,6.212,0.015
